class,scientific_name,common_name
Mammalia,Pipistrellus pipistrellus,Common Pipistrelle
Mammalia,Rousettus aegyptiacus,Egyptian Fruit Bat
Mammalia,Pteronotus parnellii,Parnell's Mustached Bat
Mammalia,Muntiacus muntjak,Indian Muntjac
Mammalia,Rangifer tarandus,Reindeer
Mammalia,Ursus maritimus,Polar Bear
Mammalia,Neofelis nebulosa,Clouded Leopard
Mammalia,Panthera pardus,Leopard
Mammalia,Puma concolor,Cougar
Mammalia,Lynx lynx,Eurasian Lynx
Mammalia,Martes martes,Pine Marten
Mammalia,Mustela putorius furo,Ferret
Mammalia,Meles meles,European Badger
Mammalia,Mephitis mephitis,Striped Skunk
Mammalia,Procyon lotor,Raccoon
Mammalia,Vulpes lagopus,Arctic Fox
Mammalia,Castor fiber,Eurasian Beaver
Mammalia,Lutra lutra,Eurasian Otter
Mammalia,Enhydra lutris,Sea Otter
Mammalia,Pongo pygmaeus,Bornean Orangutan
Mammalia,Hylobates lar,Lar Gibbon
Mammalia,Saimiri sciureus,Common Squirrel Monkey
Mammalia,Cebus capucinus,White-faced Capuchin
Mammalia,Tarsius syrichta,Philippine Tarsier
Mammalia,Saguinus oedipus,Cotton-top Tamarin
Mammalia,Callithrix jacchus,Common Marmoset
Mammalia,Lemur catta,Ring-tailed Lemur
Mammalia,Eulemur fulvus,Brown Lemur
Mammalia,Otolemur garnettii,Small-eared Galago
Mammalia,Galeopterus variegatus,Sunda Flying Lemur
Mammalia,Crocuta crocuta,Spotted Hyena
Mammalia,Equus przewalskii,Przewalski's Horse
Mammalia,Bos grunniens,Yak
Mammalia,Bos indicus,Zebu
Mammalia,Bubalus arnee,Wild Water Buffalo
Mammalia,Tragelaphus strepsiceros,Greater Kudu
Mammalia,Syncerus caffer,African Buffalo
Mammalia,Diceros bicornis,Black Rhinoceros
Mammalia,Ceratotherium simum,White Rhinoceros
Mammalia,Tapirus bairdii,Baird's Tapir
Mammalia,Viverra zibetha,Large Indian Civet
Mammalia,Martes flavigula,Yellow-throated Marten
Mammalia,Paradoxurus hermaphroditus,Common Palm Civet
Mammalia,Leptailurus serval,Serval
Mammalia,Caracal caracal,Caracal
Mammalia,Herpestes ichneumon,Egyptian Mongoose
Mammalia,Cynictis penicillata,Yellow Mongoose
Mammalia,Echinops telfairi,Lesser Hedgehog Tenrec
Mammalia,Potamochoerus porcus,Red River Hog
Mammalia,Hystrix cristata,Crested Porcupine
Mammalia,Sciurus vulgaris,Red Squirrel
Mammalia,Lepus europaeus,European Hare
Mammalia,Sus scrofa,Wild Boar
Mammalia,Pan paniscus,Bonobo
Mammalia,Acinonyx jubatus,Cheetah
Mammalia,Arctocephalus pusillus,Cape Fur Seal
Mammalia,Balaenoptera musculus,Blue Whale
Mammalia,Bison bison,American Bison
Mammalia,Callorhinus ursinus,Northern Fur Seal
Mammalia,Cephalorhynchus commersonii,Commerson's Dolphin
Mammalia,Delphinus delphis,Common Dolphin
Mammalia,Eumetopias jubatus,Steller Sea Lion
Mammalia,Hippopotamus amphibius,Hippopotamus
Mammalia,Hydrurga leptonyx,Leopard Seal
Mammalia,Kobus leche,Lechwe
Mammalia,Mirounga angustirostris,Northern Elephant Seal
Mammalia,Monachus monachus,Mediterranean Monk Seal
Mammalia,Orcinus orca,Killer Whale
Mammalia,Phoca vitulina,Harbor Seal
Mammalia,Physeter macrocephalus,Sperm Whale
Mammalia,Pontoporia blainvillei,La Plata Dolphin
Mammalia,Stenella attenuata,Pantropical Spotted Dolphin
Mammalia,Trichechus manatus,West Indian Manatee
Mammalia,Zaedyus pichiy,Pichi Armadillo
Mammalia,Ailuropoda melanoleuca,Giant Panda
Mammalia,Antilocapra americana,Pronghorn
Mammalia,Ateles geoffroyi,Geoffroy's Spider Monkey
Mammalia,Balaenoptera acutorostrata,Minke Whale
Mammalia,Bradypus variegatus,Brown-throated Sloth
Mammalia,Camelopardalis camelopardalis,Giraffe
Mammalia,Capybara hydrochaeris,Capybara
Mammalia,Cercocebus agilis,Agile Mangabey
Mammalia,Choeropsis liberiensis,Pygmy Hippopotamus
Mammalia,Colobus guereza,Eastern Black-and-white Colobus
Mammalia,Condylura cristata,Star-nosed Mole
Mammalia,Cynomys ludovicianus,Black-tailed Prairie Dog
Mammalia,Dasyprocta aguti,Agouti
Mammalia,Didelphis virginiana,Virginia Opossum
Mammalia,Dipodomys ordii,Ord's Kangaroo Rat
Mammalia,Echinosorex gymnurus,Moonrat
Mammalia,Elephas maximus,Asian Elephant
Mammalia,Galago senegalensis,Lesser Galago
Mammalia,Gazella thomsonii,Thomson's Gazelle
Mammalia,Glaucomys volans,Southern Flying Squirrel
Mammalia,Hippotragus equinus,Roan Antelope
Mammalia,Hydrochoerus hydrochaeris,Capybara
Mammalia,Indri indri,Indri
Mammalia,Kangaroo giganteus,Red Kangaroo
Mammalia,Kobus kob,Kob
Mammalia,Lemur variegatus,Ruffed Lemur
Mammalia,Lontra canadensis,North American River Otter
Mammalia,Lycaon pictus,African Wild Dog
Mammalia,Manis temminckii,Ground Pangolin
Mammalia,Marmota monax,Woodchuck
Mammalia,Megaptera novaeangliae,Humpback Whale
Mammalia,Melursus ursinus,Sloth Bear
Mammalia,Miopithecus talapoin,Talapoin
Mammalia,Monotremata,Echidna
Mammalia,Nasalis larvatus,Proboscis Monkey
Mammalia,Nemorhaedus goral,Goral
Mammalia,Nycticebus coucang,Slow Loris
Mammalia,Okapia johnstoni,Okapi
Mammalia,Oryx gazella,Gemsbok
Mammalia,Osbornictis piscivora,Congo Water Civet
Mammalia,Ototemys irroratus,Marsh Rat
Mammalia,Ovis canadensis,Bighorn Sheep
Mammalia,Papio anubis,Olive Baboon
Mammalia,Phacochoerus africanus,Common Warthog
Mammalia,Phascolarctos cinereus,Koala
Mammalia,Platanista gangetica,Ganges River Dolphin
Mammalia,Poecilogale albinucha,African Striped Weasel
Mammalia,Potamogale velox,Giant Otter Shrew
Mammalia,Pseudoryx ngelatienesis,Saola
Mammalia,Rhynchocyon chrysopus,Golden-rumped Elephant Shrew
Mammalia,Saiga tatarica,Saiga Antelope
Mammalia,Suricata suricatta,Meerkat
Mammalia,Tachyglossus aculeatus,Short-beaked Echidna
Mammalia,Tarsius tarsier,Spectral Tarsier
Mammalia,Thalarctos maritimus,Polar Bear
Mammalia,Tragulus napu,Large Mouse-deer
Mammalia,Ursus americanus,American Black Bear
Mammalia,Vicugna vicugna,Vicuña
Mammalia,Wallabia bicolor,Swamp Wallaby
Mammalia,Xerus erythropus,Striped Ground Squirrel
Mammalia,Zaglossus bruijni,Long-beaked Echidna
Mammalia,Panthera uncia,Snow Leopard
Mammalia,Panthera onca,Jaguar
Mammalia,Vombatus ursinus,Common Wombat
Mammalia,Sarcophilus harrisii,Tasmanian Devil
Mammalia,Perameles gunnii,Eastern Barred Bandicoot
Mammalia,Setonix brachyurus,Quokka
Mammalia,Bison bonasus,European Bison
Mammalia,Myrmecophaga tridactyla,Giant Anteater
Mammalia,Priodontes maximus,Giant Armadillo
Mammalia,Helarctos malayanus,Sun Bear
Mammalia,Ailurus fulgens,Red Panda
Mammalia,Gulo gulo,Wolverine
Mammalia,Mustela erminea,Stoat
Mammalia,Herpestes auropunctatus,Small Indian Mongoose
Mammalia,Petaurus norfolcensis,Squirrel Glider
Mammalia,Petaurus breviceps,Sugar Glider
Mammalia,Octodon degus,Common Degu
Mammalia,Cavia porcellus,Guinea Pig
Mammalia,Marmota marmota,Alpine Marmot
Mammalia,Talpa europaea,European Mole
Mammalia,Helogale parvula,Common Dwarf Mongoose
Mammalia,Vulpes zerda,Fennec Fox
Mammalia,Chrysocyon brachyurus,Maned Wolf
Mammalia,Ochotona princeps,American Pika
Mammalia,Dipus sagitta,Northern Three-toed Jerboa
Mammalia,Geomys bursarius,Plains Pocket Gopher
Mammalia,Mustela nivalis,Least Weasel
Mammalia,Neovison vison,American Mink
Mammalia,Odobenus rosmarus,Walrus
Mammalia,Delphinapterus leucas,Beluga Whale
Mammalia,Monodon monoceros,Narwhal
Mammalia,Balaenoptera physalus,Fin Whale
Mammalia,Halichoerus grypus,Gray Seal
Mammalia,Bos gaurus,Gaur
Mammalia,Hydropotes inermis,Water Deer
Mammalia,Cervus nippon,Sika Deer
Mammalia,Mazama americana,Red Brocket Deer
Mammalia,Aepyceros melampus,Impala
Mammalia,Antidorcas marsupialis,Springbok
Mammalia,Tragelaphus angasii,Nyala
Mammalia,Tragelaphus eurycerus,Bongo
Mammalia,Cercopithecus aethiops,Vervet Monkey
Mammalia,Papio hamadryas,Barbary Baboon
Mammalia,Colobus polykomos,Western Red Colobus
Mammalia,Presbytis cristata,Tufted Leaf Monkey
Mammalia,Nomascus leucogenys,White-cheeked Gibbon
Mammalia,Cheirogaleus medius,Fat-tailed Dwarf Lemur
Mammalia,Lepilemur rufescens,Red-bellied Lemur
Mammalia,Hapalemur griseus,Eastern Lesser Bamboo Lemur
Mammalia,Nycticebus pygmaeus,Pygmy Slow Loris
Mammalia,Microcebus murinus,Gray Mouse Lemur
Mammalia,Perognathus flavus,Plains Pocket Mouse
Mammalia,Reithrodontomys megalotis,Western Harvest Mouse
Mammalia,Onychomys leucogaster,Northern Grasshopper Mouse
Mammalia,Peromyscus polionotus,Oldfield Mouse
Mammalia,Spermophilus tridecemlineatus,Thirteen-lined Ground Squirrel
Mammalia,Myocastor coypus,Nutria
Mammalia,Lepus californicus,Black-tailed Jackrabbit
Mammalia,Equus hemionus,Onager
Mammalia,Pantholops hodgsonii,Tibetan Antelope
Aves,Gallus gallus domesticus,Chicken
Aves,Anas platyrhynchos,Mallard
Aves,Columba livia,Rock Pigeon
Aves,Passer domesticus,House Sparrow
Aves,Cygnus olor,Mute Swan
Aves,Struthio camelus,Ostrich
Aves,Pavo cristatus,Indian Peafowl
Aves,Corvus corax,Common Raven
Aves,Aquila chrysaetos,Golden Eagle
Aves,Bubo bubo,Eurasian Eagle-Owl
Aves,Falco peregrinus,Peregrine Falcon
Aves,Spheniscus demersus,African Penguin
Aves,Ara macao,Scarlet Macaw
Aves,Anser anser,Greylag Goose
Aves,Mergus merganser,Red-breasted Merganser
Aves,Larus argentatus,Herring Gull
Aves,Sterna hirundo,Common Tern
Aves,Alcedo atthis,Common Kingfisher
Aves,Cuculus canorus,Common Cuckoo
Aves,Motacilla alba,White Wagtail
Aves,Turdus merula,Common Blackbird
Aves,Phoenicopterus roseus,Greater Flamingo
Aves,Grus grus,Common Crane
Aves,Otis tarda,Great Bustard
Aves,Buteo buteo,Common Buzzard
Aves,Accipiter gentilis,Northern Goshawk
Aves,Strix aluco,Tawny Owl
Aves,Upupa epops,Eurasian Hoopoe
Aves,Coccothraustes coccothraustes,Hawfinch
Aves,Pycnonotus barbatus,Red-vented Bulbul
Aves,Sturnus vulgaris,Common Starling
Aves,Fringilla coelebs,Chaffinch
Aves,Parus major,Great Tit
Aves,Carduelis carduelis,European Goldfinch
Aves,Emberiza citrinella,Yellowhammer
Aves,Prunella modularis,Dunnock
Aves,Aegithalos caudatus,Long-tailed Tit
Aves,Regulus regulus,Goldcrest
Aves,Phylloscopus collybita,Common Chiffchaff
Aves,Sylvia atricapilla,Eurasian Blackcap
Aves,Acrocephalus scirpaceus,Reed Warbler
Aves,Motacilla cinerea,Grey Wagtail
Aves,Alauda arvensis,Skylark
Aves,Loxia curvirostra,Red Crossbill
Aves,Fratercula arctica,Atlantic Puffin
Aves,Somateria mollissima,Common Eider
Aves,Mergus serrator,Red-throated Merganser
Aves,Egretta garzetta,Little Egret
Aves,Ardea cinerea,Grey Heron
Aves,Botaurus stellaris,Eurasian Bittern
Aves,Nycticorax nycticorax,Black-crowned Night Heron
Aves,Phoenicoparrus andinus,Andean Flamingo
Aves,Caracara plancus,Southern Caracara
Aves,Circus cyaneus,Northern Harrier
Aves,Buteo jamaicensis,Red-tailed Hawk
Aves,Falco columbarius,Merlin
Aves,Pernis apivorus,European Honey Buzzard
Aves,Gavia stellata,Red-throated Diver
Aves,Morus bassanus,Northern Gannet
Aves,Podiceps cristatus,Great Crested Grebe
Aves,Tadorna tadorna,Common Shelduck
Aves,Anser albifrons,Greater White-fronted Goose
Aves,Chroicocephalus ridibundus,Black-headed Gull
Aves,Larus marinus,Great Black-backed Gull
Aves,Rissa tridactyla,Black-legged Kittiwake
Aves,Sula nebouxii,Blue-footed Booby
Aves,Fregata magnificens,Magnificent Frigatebird
Aves,Phoebastria nigripes,Black-footed Albatross
Aves,Diomedea exulans,Wandering Albatross
Aves,Puffinus puffinus,Manx Shearwater
Aves,Procellaria aequinoctialis,White-chinned Petrel
Aves,Phaethon aethereus,Red-billed Tropicbird
Aves,Oceanodroma leucorhoa,Leach's Storm-Petrel
Aves,Sterna dougallii,Roseate Tern
Aves,Thalasseus maximus,Royal Tern
Aves,Sternula antillarum,Least Tern
Aves,Aythya fuligula,Tufted Duck
Aves,Netta rufina,Red-crested Pochard
Aves,Anas acuta,Northern Pintail
Aves,Aix sponsa,Wood Duck
Aves,Dendrocygna viduata,White-faced Whistling Duck
Aves,Oxyura jamaicensis,Ruddy Duck
Aves,Ardea herodias,Great Blue Heron
Aves,Eudocimus albus,American White Ibis
Aves,Ciconia ciconia,White Stork
Aves,Himantopus himantopus,Black-winged Stilt
Aves,Jacana jacana,Northern Jacana
Aves,Recurvirostra avosetta,Pied Avocet
Aves,Chlidonias niger,Black Tern
Aves,Chlidonias hybrida,White-winged Tern
Aves,Sterna paradisaea,Arctic Tern
Aves,Platalea leucorodia,Eurasian Spoonbill
Aves,Bubulcus ibis,Cattle Egret
Aves,Egretta thula,Bare-throated Tiger Heron
Aves,Nyctanassa violacea,Yellow-crowned Night Heron
Aves,Butorides virescens,Green Heron
Aves,Himantopus mexicanus,Black-necked Stilt
Aves,Gallinago gallinago,Common Snipe
Aves,Actitis hypoleucos,Common Sandpiper
Aves,Melopsittacus undulatus,Budgerigar
Aves,Nymphicus hollandicus,Cockatiel
Aves,Agapornis roseicollis,Peach-faced Lovebird
Aves,Amazona aestiva,Blue-fronted Amazon
Aves,Ara ararauna,Blue-and-yellow Macaw
Aves,Cacatua galerita,Sulphur-crested Cockatoo
Aves,Poicephalus senegalus,Senegal Parrot
Aves,Psittacus erithacus,African Grey Parrot
Aves,Tauraco persa,Guinea Turaco
Aves,Corythaeola cristata,Go-away-bird
Aves,Musophaga violacea,Violet Turaco
Aves,Opisthocomus hoazin,Hoatzin
Aves,Galliformes,Various Chicken Breeds
Aves,Numida meleagris,Helmeted Guineafowl
Aves,Meleagris gallopavo,Wild Turkey
Aves,Coturnix coturnix,Common Quail
Aves,Perdix perdix,Grey Partridge
Aves,Alectoris rufa,Red-legged Partridge
Aves,Phasianus colchicus,Common Pheasant
Aves,Syrmaticus reevesii,Reeves's Pheasant
Aves,Chrysolophus pictus,Golden Pheasant
Aves,Chrysolophus amherstiae,Lady Amherst's Pheasant
Aves,Pavo muticus,Green Peafowl
Aves,Lophura nycthemera,Silver Pheasant
Aves,Tragopan satyra,Satyr Tragopan
Aves,Tetrao urogallus,Western Capercaillie
Aves,Lagopus lagopus,Willow Ptarmigan
Aves,Lagopus muta,Rock Ptarmigan
Aves,Bonasa bonasia,Hazel Grouse
Aves,Tetrastes bonasia,Hazel Grouse
Aves,Centrocercus urophasianus,Greater Sage-Grouse
Aves,Tympanuchus cupido,Heath Hen
Aves,Tympanuchus phasianellus,Sharp-tailed Grouse
Aves,Colinus virginianus,Northern Bobwhite
Aves,Odontophorus gujanensis,Marbled Wood-Quail
Aves,Rhynchortyx cinctus,Barred Forest-Quail
Aves,Eudromia elegans,Elegant Crested Tinamou
Aves,Nothoprocta ornata,Ornate Tinamou
Aves,Crypturellus tataupa,Tataupa Tinamou
Aves,Tinamus major,Great Tinamou
Aves,Rhea americana,Greater Rhea
Aves,Rhea pennata,Lesser Rhea
Aves,Dromaius novaehollandiae,Emu
Aves,Casuarius casuarius,Southern Cassowary
Aves,Casuarius unappendiculatus,Northern Cassowary
Aves,Casuarius bennetti,Dwarf Cassowary
Aves,Apteryx mantelli,North Island Brown Kiwi
Aves,Apteryx owenii,Little Spotted Kiwi
Aves,Apteryx australis,Southern Brown Kiwi
Aves,Apteryx haastii,Great Spotted Kiwi
Aves,Struthio molybdophanes,Somali Ostrich
Aves,Pterocnemia pennata,Darwin's Rhea
Aves,Aepyornis maximus,Elephant Bird
Aves,Dinornis robustus,Giant Moa
Aves,Gastornis parisiensis,Gastornis
Aves,Kelenken guillermoi,Kelenken
Aves,Phorusrhacos longissimus,Phorusrhacos
Aves,Titanis walleri,Titanis
Aves,Andalgalornis steulleti,Andalgalornis
Aves,Argentavis magnificens,Argentavis
Aves,Brontornis burmeisteri,Brontornis
Aves,Diatryma gigantea,Diatryma
Aves,Lithornis plebius,Lithornis
Aves,Pelagornis chilensis,Pelagornis
Aves,Teratornis merriami,Teratornis
Aves,Vorombe titan,Vorombe
Aves,Anhinga anhinga,Anhinga
Aves,Phalacrocorax carbo,Great Cormorant
Aves,Phalacrocorax auritus,Double-crested Cormorant
Aves,Sula sula,Red-footed Booby
Aves,Fregata minor,Great Frigatebird
Aves,Gavia immer,Common Loon
Aves,Gavia adamsii,Yellow-billed Loon
Aves,Podiceps nigricollis,Eared Grebe
Aves,Podiceps grisegena,Red-necked Grebe
Aves,Podilymbus podiceps,Pied-billed Grebe
Aves,Tachybaptus ruficollis,Little Grebe
Aves,Spheniscus mendiculus,Galápagos Penguin
Aves,Spheniscus humboldti,Humboldt Penguin
Aves,Spheniscus magellanicus,Magellanic Penguin
Aves,Eudyptula minor,Little Penguin
Aves,Megadyptes antipodes,Yellow-eyed Penguin
Aves,Eudyptes chrysocome,Rockhopper Penguin
Aves,Eudyptes pachyrhynchus,Fiordland Crested Penguin
Aves,Eudyptes robustus,Snares Penguin
Aves,Aptenodytes forsteri,Emperor Penguin
Aves,Aptenodytes patagonicus,King Penguin
Aves,Pygoscelis adeliae,Adélie Penguin
Aves,Pygoscelis antarctica,Chinstrap Penguin
Aves,Pygoscelis papua,Gentoo Penguin
Aves,Cerorhinca monocerata,Rhinoceros Auklet
Aves,Synthliboramphus antiquus,Ancient Murrelet
Aves,Ptychoramphus aleuticus,Cassin's Auklet
Aves,Aethia pusilla,Least Auklet
Aves,Cyclorrhynchus psittacula,Parakeet Auklet
Aves,Brachyramphus marmoratus,Marbled Murrelet
Aves,Cepphus grylle,Black Guillemot
Aves,Uria aalge,Common Murre
Aves,Uria lomvia,Thick-billed Murre
Aves,Archilochus colubris,Ruby-throated Hummingbird
Aves,Calypte anna,Anna's Hummingbird
Aves,Calypte costae,Costa's Hummingbird
Aves,Selasphorus rufus,Rufous Hummingbird
Aves,Colibri coruscans,Sparkling Violetear
Aves,Ptilonorhynchus violaceus,Satin Bowerbird
Aves,Cardinalis cardinalis,Northern Cardinal
Aves,Turdus migratorius,American Robin
Aves,Sitta carolinensis,White-breasted Nuthatch
Aves,Poecile atricapillus,Black-capped Chickadee
Aves,Junco hyemalis,Dark-eyed Junco
Aves,Emberiza schoeniclus,Reed Bunting
Aves,Regulus ignicapilla,Firecrest
Aves,Cinnyris jugularis,Olive-backed Sunbird
Aves,Corvus brachyrhynchos,American Crow
Aves,Aphelocoma californica,Western Scrub-Jay
Aves,Quiscalus quiscula,Common Grackle
Aves,Icterus galbula,Baltimore Oriole
Aves,Melanerpes carolinus,Red-bellied Woodpecker
Aves,Picoides pubescens,Downy Woodpecker
Aves,Dryocopus pileatus,Pileated Woodpecker
Aves,Colaptes auratus,Northern Flicker
Aves,Sitta europaea,Eurasian Nuthatch
Aves,Fringilla montifringilla,Brambling
Aves,Emberiza melanocephala,Black-headed Bunting
Aves,Saxicola rubetra,Whinchat
Aves,Oenanthe oenanthe,Northern Wheatear
Aves,Certhia familiaris,Treecreeper
Aves,Cyanistes caeruleus,Blue Tit
Aves,Poecile gambeli,Mountain Chickadee
Aves,Chloris chloris,European Greenfinch
Aves,Acanthis flammea,Common Redpoll
Aves,Calcarius lapponicus,Lapland Longspur
Aves,Zonotrichia leucophrys,White-crowned Sparrow
Aves,Ammodramus savannarum,Grasshopper Sparrow
Aves,Passerina cyanea,Blue Grosbeak
Aves,Sporophila torqueola,White-collared Seedeater
Aves,Thraupis episcopus,Blue-gray Tanager
Aves,Saltator atricollis,Buff-throated Saltator
Aves,Mimus polyglottos,Northern Mockingbird
Aves,Toxostoma curvirostre,Curve-billed Thrasher
Aves,Icterus spurius,Orchard Oriole
Aves,Lanius excubitor,Great Grey Shrike
Aves,Sturnella magna,Eastern Meadowlark
Aves,Geococcyx californianus,Greater Roadrunner
Aves,Cuculus micropterus,Himalayan Cuckoo
Aves,Bubo scandiacus,Snowy Owl
Aves,Asio flammeus,Short-eared Owl
Aves,Tyto alba,Barn Owl
Aves,Pandion haliaetus,Osprey
Aves,Haliaeetus leucocephalus,Bald Eagle
Aves,Circus melanoleucos,Pied Harrier
Aves,Pernis ptilorhynchus,Oriental Honey-buzzard
Aves,Falco rusticolus,Gyrfalcon
Aves,Microhierax melanoleucos,Black-winged Pygmy Falcon
Aves,Accipiter cooperii,Cooper's Hawk
Aves,Buteo platypterus,Broad-winged Hawk
Aves,Aquila heliaca,Eastern Imperial Eagle
Aves,Aethia cristatella,Crested Auklet
Aves,Bucephala clangula,Common Goldeneye
Reptilia,Crocodylus niloticus,Nile Crocodile
Reptilia,Alligator mississippiensis,American Alligator
Reptilia,Chelonia mydas,Green Sea Turtle
Reptilia,Dermochelys coriacea,Leatherback Sea Turtle
Reptilia,Varanus komodoensis,Komodo Dragon
Reptilia,Python regius,Ball Python
Reptilia,Python bivittatus,Burmese Python
Reptilia,Iguana iguana,Green Iguana
Reptilia,Naja naja,Indian Cobra
Reptilia,Daboia russelii,Russell's Viper
Reptilia,Crotalus adamanteus,Eastern Diamondback Rattlesnake
Reptilia,Crotalus atrox,Western Diamondback Rattlesnake
Reptilia,Bothrops asper,Fer-de-Lance
Reptilia,Eryx colubrinus,Kenyan Sand Boa
Reptilia,Boa constrictor,Boa Constrictor
Reptilia,Eunectes murinus,Green Anaconda
Reptilia,Bitis arietans,Puff Adder
Reptilia,Chamaeleo calyptratus,Veiled Chameleon
Reptilia,Pogona vitticeps,Central Bearded Dragon
Reptilia,Uromastyx acanthinura,Spiny-tailed Lizard
Reptilia,Sceloporus occidentalis,Western Fence Lizard
Reptilia,Gekko gecko,Tokay Gecko
Reptilia,Anolis carolinensis,Carolina Anole
Reptilia,Eublepharis macularius,Leopard Gecko
Reptilia,Sphaerodactylus macrolepis,Large-scaled Gecko
Reptilia,Testudo hermanni,Hermann's Tortoise
Reptilia,Testudo graeca,Greek Tortoise
Reptilia,Geochelone sulcata,African Spurred Tortoise
Reptilia,Trachemys scripta elegans,Red-eared Slider
Reptilia,Graptemys geographica,Northern Map Turtle
Reptilia,Chelydra serpentina,Common Snapping Turtle
Reptilia,Macrochelys temminckii,Alligator Snapping Turtle
Reptilia,Pelodiscus sinensis,Chinese Softshell Turtle
Reptilia,Pseudemys concinna,River Cooter
Reptilia,Kinosternon flavescens,Yellow Mud Turtle
Reptilia,Thamnophis sirtalis,Common Garter Snake
Reptilia,Nerodia sipedon,Northern Watersnake
Reptilia,Lampropeltis getula,Common Kingsnake
Reptilia,Coluber constrictor,Eastern Racer
Reptilia,Opheodrys vernalis,Smooth Green Snake
Reptilia,Storeria dekayi,Brown Snake
Reptilia,Regina septemvittata,Common Water Snake
Reptilia,Boiga dendrophila,Mangrove Snake
Reptilia,Ophiophagus hannah,King Cobra
Reptilia,Bungarus caeruleus,Common Krait
Reptilia,Micrurus fulvius,Eastern Coral Snake
Reptilia,Hydrophis cyanocinctus,Blue-banded Sea Snake
Reptilia,Aipysurus laevis,Olive Sea Snake
Reptilia,Laticauda colubrina,Banded Sea Krait
Reptilia,Sphenodon punctatus,Tuatara
Reptilia,Uta stansburiana,Side-blotched Lizard
Reptilia,Scincus scincus,Sandfish Skink
Reptilia,Tiliqua rugosa,Shingleback Lizard
Reptilia,Lerista bougainvillii,Bougainville's Skink
Reptilia,Emoia cyanura,Blue-tailed Skink
Reptilia,Plestiodon fasciatus,Five-lined Skink
Reptilia,Eumeces schneideri,Schneider's Skink
Reptilia,Holbrookia maculata,Lesser Earless Lizard
Reptilia,Phrynosoma platyrhinos,Desert Horned Lizard
Reptilia,Sceloporus undulatus,Eastern Fence Lizard
Reptilia,Anolis sagrei,Brown Anole
Reptilia,Iguana delicatissima,Lesser Antillean Iguana
Reptilia,Cyclura cornuta,Rhinoceros Iguana
Reptilia,Ctenosaura similis,Black Spiny-Tailed Iguana
Reptilia,Sauromalus obesus,Bluff Iguana
Reptilia,Basiliscus plumifrons,Green Basilisk
Reptilia,Corytophanes cristatus,Helmeted Iguana
Reptilia,Leiocephalus carinatus,Cuban Rock Iguana
Reptilia,Sphenomorphus maculatus,Spotted Skink
Reptilia,Dipsas indica,Indian Snail-Eater
Reptilia,Liophis miliaris,Many-scaled Snake
Reptilia,Oxyrhopus petolarius,False Coral Snake
Reptilia,Imantodes cenchoa,Jungle Cat Snake
Reptilia,Tantilla relicta,Brown Centipede Snake
Reptilia,Leptotyphlops dulcis,Slender Blind Snake
Reptilia,Anomochilus weberi,Dwarf Pipe Snake
Reptilia,Typhlops vermicularis,Worm Snake
Reptilia,Coniophanes fissidens,Variable Ground Snake
Reptilia,Erythrolamprus aesculapii,Aesculapian Snake
Reptilia,Lytorhynchus diadema,Crowned Leaf-nosed Snake
Reptilia,Psammophis schokari,Schokari Racer
Reptilia,Platyceps collaris,Collared Snake
Reptilia,Dolichophis jugularis,European Ratsnake
Reptilia,Hierophis viridiflavus,Grass Snake
Reptilia,Coronella austriaca,Smooth Snake
